VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
2061,13140,38,3813140,North-Central Interior Maple-Basswood Forest
2062,14210,38,3814210,Central Tallgrass Prairie
2063,14230,38,3814230,Southeastern Great Plains Tallgrass Prairie
2064,14690,38,3814690,Eastern Great Plains Floodplain Systems
2065,14880,38,3814880,Eastern Great Plains Wet Meadow-Prairie-Marsh
2066,14950,38,3814950,Western Great Plains Depressional Wetland Systems
2067,13050,47,4713050,Southern Interior Low Plateau Dry-Mesic Oak Forest
2068,13060,47,4713060,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
2069,13070,47,4713070,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
2070,13100,47,4713100,North-Central Interior Dry-Mesic Oak Forest and Woodland
2071,13130,47,4713130,North-Central Interior Beech-Maple Forest
2072,13210,47,4713210,South-Central Interior Mesophytic Forest
2073,13250,47,4713250,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
2074,13260,47,4713260,South-Central Interior/Upper Coastal Plain Flatwoods
2075,13270,47,4713270,East Gulf Coastal Plain Northern Loess Bluff Forest
2076,13530,47,4713530,Southern Appalachian Low-Elevation Pine Forest
2077,13570,47,4713570,Southern Coastal Plain Mesic Slope Forest
2078,13630,47,4713630,Central Interior Highlands Dry Acidic Glade and Barrens
2079,14010,47,4714010,Central Interior Highlands Calcareous Glade and Barrens
2080,14130,47,4714130,Bluegrass Savanna and Woodland
2081,14180,47,4714180,Pennyroyal Karst Plain Prairie and Barrens
2082,14270,47,4714270,East Gulf Coastal Plain Jackson Plain Prairie and Barrens
2083,14570,47,4714570,South-Central Interior/Upper Coastal Plain Wet Flatwoods
2084,14710,47,4714710,Central Interior and Appalachian Floodplain Systems
2085,14720,47,4714720,Central Interior and Appalachian Riparian Systems
2086,14730,47,4714730,Gulf and Atlantic Coastal Plain Floodplain Systems
2087,14740,47,4714740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
2088,14790,47,4714790,Central Interior and Appalachian Swamp Systems
2089,14800,47,4714800,Gulf and Atlantic Coastal Plain Swamp Systems
2090,15090,47,4715090,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest
2091,15180,47,4715180,North-Central Interior Wet Flatwoods
2092,13050,48,4813050,Southern Interior Low Plateau Dry-Mesic Oak Forest
2093,13060,48,4813060,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland
2094,13070,48,4813070,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest
2095,13150,48,4813150,Southern Appalachian Oak Forest
2096,13170,48,4813170,Allegheny-Cumberland Dry Oak Forest and Woodland
2097,13180,48,4813180,Southern and Central Appalachian Cove Forest
2098,13200,48,4813200,Central and Southern Appalachian Montane Oak Forest
2099,13210,48,4813210,South-Central Interior Mesophytic Forest
2100,13250,48,4813250,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest
2101,13300,48,4813300,Southern Coastal Plain Dry Upland Hardwood Forest
2102,13490,48,4813490,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland
2103,13510,48,4813510,Southeastern Interior Longleaf Pine Woodland
2104,13530,48,4813530,Southern Appalachian Low-Elevation Pine Forest
2105,13680,48,4813680,Southern Piedmont Dry Oak(-Pine) Forest
2106,13760,48,4813760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest
2107,13970,48,4813970,Nashville Basin Limestone Glade and Woodland
2108,14010,48,4814010,Central Interior Highlands Calcareous Glade and Barrens
